CODE,SCORE,PUNISH,OTHER_PENALTIES,ACT,BELONG
10253,####,罚款200元,####,遇前方机动车缓慢行驶时，在人行横道区域内停车等候的,全国性法规
10190,####,罚款100元,####,机动车违反规定使用专用车道的,全国性法规
10266,####,罚款200元,####,通过铁路道口违反管理人员指挥的,全国性法规
10254,####,罚款200元,####,遇前方道路受阻时，在网状区域停车等候的,全国性法规
1020,####,罚款200元,####,机动车驾驶人不服从交警指挥的,全国性法规
1027,####,罚款150元,####,机动车载货长度、宽度、高度超过规定的,全国性法规
10255,####,罚款200元,####,遇前方机动车停车排队等候时，在网状线区域内停车等候的,全国性法规
1021,####,罚款200元,####,遇前方机动车停车排队等候或者缓慢行驶时，从前方车辆两侧穿插行驶的,全国性法规
1028,####,罚款150元,####,机动车载物行驶时遗洒、飘散载运物的,全国性法规
10256,####,罚款200元,####,遇前方机动车缓慢行驶时，在网状线区域内停车等候的,全国性法规
1022,####,罚款200元,####,遇前方机动车停车排队等候或者缓慢行驶时，从前方车辆两侧穿插行驶的,全国性法规
1029,####,罚款150元,####,运载超限物品时不按规定的时间、路线、速度行驶的,全国性法规
1026,####,罚款50元,####,行经铁路道口，不按规定通行的,全国性法规
1023,####,罚款100元,####,遇前方机动车停车排队等候或者缓慢行驶时，未依次交替驶入车道减少后的路口、路段的,全国性法规
1030,####,罚款150元,####,运载超限物品时未悬挂明显标志的,全国性法规
10261,####,罚款100元,####,通过无交通信号的铁路道口未减速的,全国性法规
1024,####,罚款100元,####,在没有交通信号灯、交通标志、交通标线或者交警指挥的交叉路口遇到停车排队等候或者缓慢行驶时，机动车未依次交替通行的,全国性法规
10310,####,罚款200元,####,运载危险物品未经批准的,全国性法规
10262,####,罚款100元,####,通过无交通信号的铁路道口未停车确认安全的,全国性法规
1033,####,罚款200元,####,运载危险物品时未悬挂警示标志的,全国性法规
1032,####,罚款200元,####,运载危险物品时不按规定的时间、路线、速度行驶的,全国性法规
10393,####,罚款200元,####,机动车违反规定停放、临时停车，驾驶人不在现场或者虽在现场但驾驶人拒绝立即驶离，妨碍其它车辆、行人通行的,全国性法规
1034,####,罚款200元,####,运载危险物品时未采取必要的安全措施的,全国性法规
1041,####,罚款200元,####,道路养护施工作业车辆、机械作业时未开启示警灯和危险报警闪光灯的,全国性法规
1039AA,####,罚款50元,####,机动车违反规定停放、临时停车且驾驶人不在现场或驾驶人虽在现场拒绝立即驶离，妨碍其它车辆、行人通行的 。A就是经劝导、开走了，B就是驾驶人不在现场。,全国性法规
1035,####,罚款200元,####,载客汽车载货违反规定的,全国性法规
10411,####,罚款100元,####,机械作业时未开启示警灯的,全国性法规
1039B,####,罚款50元,####,驾驶非机动车违反疏导、限制通行、禁止通行规定,全国性法规
1036,####,罚款200元,####,货运机动车违反规定载人的,全国性法规
10412,####,罚款100元,####,机械作业时未开启危险报警闪光灯的,全国性法规
1039X,####,罚款100元,####,违反规定停放、临时停车且驾驶人不在现场或驾驶人虽在现场拒绝立即驶离，妨碍其他车辆、行人通行的,全国性法规
1037,####,罚款200元,####,未将故障车辆移到不妨碍交通的地方停放的,全国性法规
1042,####,罚款200元,####,机动车不按规定车道行驶的,全国性法规
1040,####,罚款150元,####,机动车喷涂、粘贴标识或者车身广告影响安全驾驶的,全国性法规
1038,####,罚款50元,####,不避让正在作业的道路养护车、工程作业车的,全国性法规
1043,####,罚款200元,####,变更车道时影响正常行驶的机动车的,全国性法规
10400,####,罚款50元,####,机动车喷涂、粘贴标识或者车身广告影响安全驾驶的违章行为。,全国性法规
1039,####,罚款200元,####,机动车违反规定停放、临时停车且驾驶人不在现场或驾驶人虽在现场拒绝立即驶离，妨碍其它车辆、行人通行的,全国性法规
1044,####,罚款200元,####,在禁止掉头或者禁止左转弯标志、标线的地点掉头的,全国性法规
10401,####,罚款200元,####,机动车喷涂标识影响安全驾驶的,全国性法规
10390,####,罚款100元,####,机动车违反规定停放、临时停车且驾驶人不在现场或驾驶人虽在现场拒绝立即驶离，妨碍其他车辆、行人通行的,全国性法规
10441,####,罚款200元,####,在禁止掉头的地点掉头的,全国性法规
10402,####,罚款200元,####,机动车粘贴标识影响安全驾驶的,全国性法规
10391,####,罚款200元,####,机动车违反规定停车,全国性法规
10442,####,罚款200元,####,在禁止左转弯标志的地点掉头的,全国性法规
10403,####,罚款200元,####,机动车喷涂车身广告影响安全驾驶的,全国性法规
10392,####,罚款200元,####,机动车违反规定临时停车,全国性法规
1045,####,罚款200元,####,在容易发生危险的路段掉头的,全国性法规
10404,####,罚款200元,####,机动车粘贴车身广告影响安全驾驶的,全国性法规
1046,####,罚款200元,####,掉头时妨碍正常行驶的车辆和行人通行的,全国性法规
10461,####,罚款200元,####,掉头时妨碍正常行驶的车辆通行的,全国性法规
1053,####,罚款50元,####,机动车行经渡口，不服从渡口管理人员指挥，不依次待渡的,全国性法规
10462,####,罚款200元,####,掉头时妨碍正常行驶的行人通行的,全国性法规
1063,####,罚款200元,####,拖拉机违反规定载人的,全国性法规
1054,####,罚款50元,####,上下渡船时，不低速慢行的,全国性法规
1047,####,罚款50元,####,机动车未按规定鸣喇叭示意的,全国性法规
1064,####,罚款150元,####,拖拉机牵引多辆挂车的,全国性法规
1055,####,罚款200元,####,特种车辆违反规定使用警报器的,全国性法规
1048,####,罚款150元,####,在禁止鸣喇叭的区域或者路段鸣喇叭的,全国性法规
1065,####,罚款100元,####,学习驾驶人不按指定路线上道路学习驾驶的,全国性法规
1056,####,罚款200元,####,特种车辆违反规定使用标志灯具的,全国性法规
10481,####,罚款100元,####,在禁止鸣喇叭的区域鸣喇叭的,全国性法规
1066,####,罚款100元,####,学习驾驶人不按指定时间上道路学习驾驶的,全国性法规
1057,####,罚款100元,####,机动车在单位院内居民居住区内不低速行驶的,全国性法规
10482,####,罚款100元,####,在禁止鸣喇叭的路段鸣喇叭的,全国性法规
1067,####,罚款100元,####,学习驾驶人使用非教练车上道路驾驶的,全国性法规
1058,####,罚款100元,####,机动车在单位院内居民居住区内不避让行人的,全国性法规
1049,####,罚款50元,####,在机动车驾驶室的前后窗范围内悬挂、放置妨碍驾驶人视线的物品的,全国性法规
1068,####,罚款100元,####,学习驾驶人在教练不随车指导下上道路驾驶车辆的,全国性法规
1059,####,罚款150元,####,驾驶摩托车手离车把的,全国性法规
1050,####,罚款50元,####,机动车行经漫水路或漫水桥时未低速通过的,全国性法规
1069,####,罚款100元,####,使用教练车时有与教学无关的人员乘坐的,全国性法规
1060,####,罚款150元,####,驾驶摩托车在车把上悬挂物品的,全国性法规
1051,####,罚款100元,####,机动车载运超限物品行经铁路道口时不按指定的道口通过的,全国性法规
1070,####,罚款50元,####,实习期内未粘贴或悬挂实习标志的,全国性法规
1061,####,罚款150元,####,拖拉机驶入大中城市中心城区内道路的,全国性法规
1052,####,罚款100元,####,机动车载运超限物品行经铁路道口时不按指定的时间通过的,全国性法规
1071,####,罚款100元,####,上道路行驶的机动车未放置检验合格标志的,全国性法规
1062,####,罚款150元,####,拖拉机驶入其它禁止通行道路的,全国性法规
1073,####,罚款200元,####,驾驶机件不符合技术标准的机动车的,全国性法规
1072,####,罚款200元,####,驾驶安全设施不全的机动车的,全国性法规
10832,####,罚款200元,####,挂车未按照规定安装防护装置的,全国性法规
1074,####,罚款20元,####,不按规定倒车的，,全国性法规
10881,####,罚款200元,####,以欺骗、贿赂等不正当手段办理补领机动车登记证书业务的,全国性法规
10833,####,罚款200元,####,载货汽车未按照规定粘贴车身反光标识的,全国性法规
1075,####,罚款20元,####,在车门、车厢没有关好时行车的,全国性法规
10882,####,罚款200元,####,以欺骗、贿赂等不正当手段办理换领机动车登记证书业务的,全国性法规
10834,####,罚款200元,####,挂车未按照规定粘贴车身反光标识的,全国性法规
10751,####,罚款50元,####,在车门没有关好时行车的,全国性法规
10883,####,罚款200元,####,以欺骗、贿赂等不正当手段办理补领机动车号牌业务的,全国性法规
10841,####,罚款200元,####,改变车身颜色，未按规定时限办理变更登记的,全国性法规
10752,####,罚款50元,####,在车厢没有关好时行车的,全国性法规
10884,####,罚款200元,####,以欺骗、贿赂等不正当手段办理换领机动车号牌业务的,全国性法规
10842,####,罚款200元,####,更换发动机，未按规定时限办理变更登记的,全国性法规
10771,####,罚款200元,####,驾驶机动车下陡坡时熄火滑行的,全国性法规
10885,####,罚款200元,####,以欺骗、贿赂等不正当手段办理补领机动车行驶证业务的,全国性法规
10843,####,罚款200元,####,更换车身，未按规定时限办理变更登记的,全国性法规
10772,####,罚款200元,####,驾驶机动车下陡坡时空档滑行的,全国性法规
10886,####,罚款200元,####,以欺骗、贿赂等不正当手段办理换领机动车行驶证业务,全国性法规
10844,####,罚款200元,####,更换车架，未按规定时限办理变更登记的,全国性法规
1078,####,罚款500元,可以并处拘留15日以下,"机动车违反交通管制规定强行通行,不听劝阻的",全国性法规
10887,####,罚款200元,####,以欺骗、贿赂等不正当手段办理补领机动车检查合格标志业务的,全国性法规
1087,####,罚款500元,####,擅自改变机动车技术结构,全国性法规
1083,####,罚款200元,####,载货汽车、挂车未按照规定安装侧面及后下部防护装置、粘贴车身反光标识的,全国性法规
10888,####,罚款200元,####,以欺骗、贿赂等不正当手段办理换领机动车检查合格标志业务的,全国性法规
10871,####,罚款500元,####,擅自改变机动车外形的,全国性法规
10831,####,罚款200元,####,载货汽车未按照规定安装防护装置的,全国性法规
1090,####,罚款100元,####,机动车违反警告标志指示,全国性法规
10872,####,罚款500元,####,擅自改变已登记的有关技术数据的,全国性法规
1091,####,罚款50元,####,机动车违反警告标线指示,全国性法规
10910,####,罚款100元,####,机动车违反警告标线指示的,全国性法规
1104,记1分,罚款100元,####,不按规定倒车的,全国性法规
1094,####,罚款50元,####,在同车道行驶中，不按规定与前车保持必要的安全距离的,全国性法规
1115,记1分,罚款20元,####,上道路行驶的机动车未放置检验合格标志的,全国性法规
1105,记1分,罚款100元,####,摩托车后座乘坐不满十二周岁未成年人的,全国性法规
10941,####,罚款100元,####,不按规定与前车保持必要的安全距离的,全国性法规
1201,记2分,罚款200元,####,机动车载物超过核定载质量未达30%的,全国性法规
1106,记1分,罚款100元,####,驾驶轻便摩托车载人的,全国性法规
10942,####,罚款200元,####,在高速公路中，不按规定与前车保持必要的安全距离的,全国性法规
1203,记2分,罚款50元,####,机动车在没有划分机动车道、非机动车道和人行道的道路上，不在道路中间通行的,全国性法规
1107,记1分,罚款50元,####,在车门、车厢没有关好时行车的,全国性法规
10943,####,罚款200元,####,在快速路上，不按规定与前车保持必要的安全距离的,全国性法规
1108,记1分,罚款20元,####,上道路行驶的机动车未放置保险标志的,全国性法规
1101,####,罚款200元,####,驾驶人未按规定使用安全带的,全国性法规
1109,记1分,罚款100元,####,未随车携带行驶证的,全国性法规
1102,记1分,罚款200元,####,不按规定使用灯光的,全国性法规
1110,记1分,罚款100元,####,未随车携带驾驶证的,全国性法规
11021,记1分,罚款100元,####,不按规定使用灯光的,全国性法规
11111,记1分,罚款100元,####,机动车载货长度超过规定的,全国性法规
11022,记1分,罚款100元,####,违反危险报警闪光灯使用规定使用灯光的,全国性法规
11112,记1分,罚款100元,####,机动车载货宽度超过规定的,全国性法规
1103,记1分,罚款100元,####,不按规定会车的,全国性法规
11113,记1分,罚款100元,####,机动车载货高度超过规定的,全国性法规
1209,记2分,罚款100元,####,左转弯时，未靠路口中心点左侧转弯的,全国性法规
1219,记2分,罚款100元,####,使用轮式专用机械牵引车辆的,全国性法规
1210,记2分,罚款100元,####,通过路口遇放行信号不依次通过的,全国性法规
1220,记2分,罚款100元,####,使用摩托车牵引车辆的,全国性法规
1211,记2分,罚款100元,####,通过路口遇停止信号时，停在停止线以内或路口内的,全国性法规
1221,记2分,罚款100元,####,牵引摩托车的,全国性法规
1212,记2分,罚款100元,####,通过路口向右转弯遇同车道内有车等候放行信号时，不依次停车等候的,全国性法规
1222,记2分,罚款100元,####,未使用专用清障车拖曳转向或照明、信号装置失效的机动车的,全国性法规
1213,记2分,罚款100元,####,牵引故障机动车时，被牵引的机动车除驾驶人外载人的,全国性法规
1223,记2分,罚款100元,####,驾驶时拨打接听手持电话的,全国性法规
1214,记2分,罚款100元,####,牵引故障机动车时，被牵引的机动车拖带挂车的,全国性法规
1224,记2分,罚款100元,####,驾驶时观看电视的,全国性法规
1215,记2分,罚款100元,####,牵引故障机动车时，被牵引的机动车宽度大于牵引的机动车的,全国性法规
1225,记2分,罚款100元,####,驾车时有其他妨碍安全行车的行为的,全国性法规
1216,记2分,罚款100元,####,使用软连接装置牵引故障机动车时，牵引车与被牵引车之间未保持安全距离的,全国性法规
12250,记2分,罚款50元,####,驾车时有其他妨碍安全行车的行为的,全国性法规
1217,记2分,罚款100元,####,牵引制动失效的被牵引车，未使用硬连接牵引装置的,全国性法规
1226,记2分,罚款200元,####,连续驾驶机动车超过4小时未停车休息或停车休息时间少于20分钟的,全国性法规
1218,记2分,罚款100元,####,使用汽车吊车牵引车辆的,全国性法规
1227,记2分,罚款200元,####,在同车道行驶中，不按规定与前车保持必要的安全距离的,全国性法规
1228,记2分,罚款200元,####,路口遇有交通阻塞时未依次等候的,全国性法规
1235,记2分,罚款200元,####,实习期内驾驶执行任务的特种车辆的,全国性法规
12281,记2分,罚款200元,####,遇前方道路受阻时，进入路口的,全国性法规
1236,记2分,罚款200元,####,实习期内驾驶载有危险物品的机动车的,全国性法规
12282,记2分,罚款200元,####,遇前方车辆排队等候时，进入路口的,全国性法规
1237,记2分,罚款200元,####,实习期内驾驶的机动车牵引挂车的,全国性法规
12283,记2分,罚款200元,####,遇前方车辆缓慢行驶时进入路口的,全国性法规
1238,记2分,罚款200元,####,机动车载人超过核定人数的,全国性法规
1229,记2分,罚款200元,####,机动车违反禁令标志指示的,全国性法规
1243,记2分,罚款200元,####,遇前方机动车停车排队或者缓慢行驶时，借道超车或者占用对面车道、穿插等候车辆的,全国性法规
1230,记2分,罚款200元,####,机动车违反禁止标线指示的,全国性法规
12431,记2分,罚款200元,####,遇前方车辆排队等候时借道超车的,全国性法规
1231,记2分,罚款50元,####,机动车违反警告标志指示的,全国性法规
12432,记2分,罚款200元,####,遇前方车辆缓慢行驶时借道超车的,全国性法规
1232,记2分,罚款50元,####,机动车违反警告标线指示的,全国性法规
12433,记2分,罚款200元,####,遇前方车辆排队等候时占用对面车道的,全国性法规
1233,记2分,罚款200元,####,实习期内驾驶公共汽车的,全国性法规
12434,记2分,罚款200元,####,遇前方车辆缓慢行驶时占用对面车道的,全国性法规
1234,记2分,罚款200元,####,实习期内驾驶营运客车的,全国性法规
12435,记2分,罚款200元,####,遇前方车辆排队等候时穿插等候车辆的,全国性法规
12436,记2分,罚款200元,####,遇前方车辆缓慢行驶时穿插等候车辆的,全国性法规
1304,记3分,罚款200元,####,从前车右侧超车的,全国性法规
1244,记2分,罚款100元,####,在城市快速路上行驶时，驾驶人未按规定使用安全带的,全国性法规
1305,记3分,罚款200元,####,前车左转弯时超车的,全国性法规
1301,记3分,罚款200元,####,机动车逆向行驶的,全国性法规
1306,记3分,罚款200元,####,前车掉头时超车的,全国性法规
13010,记3分,罚款200元,####,机动车逆向行驶的,全国性法规
1307,记3分,罚款200元,####,前车超车时超车的,全国性法规
1301X,记3分,罚款200元,####,机动车逆向行驶的,全国性法规
1308,记3分,罚款200元,####,与对面来车有会车可能时超车的,全国性法规
1302,记3分,罚款200元,####,机动车不按交通信号灯规定通行的,全国性法规
1309,记3分,罚款200元,####,超越执行紧急任务的警车、消防车、救护车、工程救险车的,全国性法规
1303,记3分,罚款150元,####,机动车行驶超过规定时速50%以下的,全国性法规
13091,记3分,罚款200元,####,超越执行紧急任务的警车的,全国性法规
13031,记3分,罚款50元,####,机动车行驶超过规定时速50%以下的,全国性法规
13092,记3分,罚款200元,####,超越执行紧急任务的消防车的,全国性法规
13032,记3分,罚款20元,####,机动车行驶超过规定时速30%以上50%以下的,全国性法规
13093,记3分,罚款200元,####,超越执行紧急任务的救护车的,全国性法规
1303B,记3分,罚款50元,####,"在限速为50公里以下的道路,时速超过限定时速10%以上不到20%的",全国性法规
13094,记3分,罚款200元,####,超越执行紧急任务的工程救险车的,全国性法规
1204,记2分,罚款200元,####,行经人行横道，未减速行驶的,全国性法规
1310,记3分,罚款200元,####,在铁路道口、路口、窄桥、弯道、陡坡、隧道、人行横道、交通流量大的路段等地点超车的,全国性法规
1205,记2分,罚款200元,####,遇行人正在通过人行横道时未停车让行的,全国性法规
13111,记3分,罚款200元,####,车辆在道路上发生故障不按规定使用警示灯光的,全国性法规
13101,记3分,罚款200元,####,在铁路道口超车的,全国性法规
1206,记2分,罚款200元,####,行经没有交通信号的道路时，遇行人横过道路未避让的,全国性法规
13112,记3分,罚款200元,####,车辆在道路上发生事故不按规定使用警示灯光的,全国性法规
13102,记3分,罚款200元,####,在路口超车的,全国性法规
1207,记2分,罚款200元,####,驾驶摩托车时驾驶人未按规定戴安全头盔的,全国性法规
13113,记3分,罚款200元,####,车辆在道路上发生故障不按规定设置警告标志的,全国性法规
13103,记3分,罚款200元,####,在窄桥超车的,全国性法规
1208,记2分,罚款100元,####,机动车通过有灯控路口时，不按所需行进方向驶入导向车道的,全国性法规
13114,记3分,罚款200元,####,车辆在道路上发生事故不按规定设置警告标志的,全国性法规
13104,记3分,罚款200元,####,在弯道超车的,全国性法规
12080,记2分,罚款200元,####,机动车通过有灯控路口时，不按所需向驶入导向车道的,全国性法规
1312,记3分,罚款100元,####,准备进入环形路口不让已在路口内的机动车先行的,全国性法规
13105,记3分,罚款200元,####,在陡坡超车的,全国性法规
1208X,记2分,罚款100元,####,"机动车通过有灯控路口时,不按所需行进方向驶入导向车道的",全国性法规
1313,记3分,罚款100元,####,转弯的机动车未让直行的车辆、行人先行的,全国性法规
13106,记3分,罚款200元,####,在隧道超车的,全国性法规
13131,记3分,罚款100元,####,转弯的机动车未让直行的车辆先行的,全国性法规
13107,记3分,罚款200元,####,在人行横道点超车的,全国性法规
13151,记3分,罚款100元,####,机动车通过无灯控或交警指挥的路口，不按交通标志指示优先通行的一方先行的,全国性法规
13132,记3分,罚款100元,####,转弯的机动车未让行人先行的,全国性法规
13108,记3分,罚款200元,####,在交通流量大的路段超车的,全国性法规
13152,记3分,罚款100元,####,机动车通过无灯控或交警指挥的路口，不按标线指示让优先通行的一方先行的,全国性法规
1314,记3分,罚款100元,####,相对方向行驶的右转弯机动车不让左转弯车辆先行的,全国性法规
1311,记3分,罚款200元,####,车辆在道路上发生故障或事故后，妨碍交通又难以移动的，不按规定设置警告标志或未按规定使用警示灯光的,全国性法规
1316,记3分,罚款100元,####,机动车通过无灯控、交警指挥、交通标志标线控制的路口，不让右方道路的来车先行的,全国性法规
1315,记3分,罚款100元,####,机动车通过无灯控或交警指挥的路口，不按交通标志、标线指示让优先通行的一方先行的,全国性法规
1317,记3分,罚款150元,####,载货汽车牵引多辆挂车的,全国性法规
1324,记3分,罚款150元,####,中型载客汽车牵引挂车的,全国性法规
1318,记3分,罚款150元,####,半挂牵引车牵引多辆挂车的,全国性法规
1330,记3分,罚款200元,####,故意污损机动车号牌的,全国性法规
1325,记3分,罚款150元,####,低速载货汽车牵引挂车的,全国性法规
1319,记3分,罚款150元,####,挂车的灯光信号、制动、连接、安全防护等装置不符合国家标准的,全国性法规
1331,记3分,罚款100元,####,不按规定安装机动车号牌的,全国性法规
1326,记3分,罚款150元,####,三轮机动车汽车牵引挂车的,全国性法规
1320,记3分,罚款150元,####,小型载客汽车牵引旅居挂车以外的且总质量700千克以上挂车的,全国性法规
1332,记3分,罚款200元,####,上道路行驶的机动车未悬挂机动车号牌的,全国性法规
1327,记3分,罚款200元,####,机动车在发生故障或事故后，不按规定使用灯光的,全国性法规
1321,记3分,罚款150元,####,挂车载人的,全国性法规
1333,记3分,罚款200元,####,不避让执行任务的特种车辆的,全国性法规
13271,记3分,罚款200元,####,机动车在发生故障未开启示廓灯的,全国性法规
1322,记3分,罚款150元,####,载货汽车牵引挂车的载质量超过汽车本身的载质量的,全国性法规
1334,记3分,罚款150元,####,机动车不避让盲人的,全国性法规
13272,记3分,罚款200元,####,机动车在发生事故未开启示廓灯的,全国性法规
1323,记3分,罚款150元,####,大型载客汽车牵引挂车的,全国性法规
1339,记3分,罚款200元,####,运输剧毒化学品机动车超过规定时速50%以下的,全国性法规
13273,记3分,罚款200元,####,机动车在发生故障未开启后位灯的,全国性法规
13441,记3分,罚款100元,####,机动车违反禁令标志指示的,全国性法规
1340,记3分,罚款200元,####,上道路行驶的机动车未按规定定期进行安全技术检验的,全国性法规
13274,记3分,罚款200元,####,机动车在发生事故未开启后位灯的,全国性法规
13442,记3分,罚款100元,####,违反禁止停车标志指示的,全国性法规
13401,记3分,罚款200元,####,上道路行驶的机动车未按规定定期进行安全技术检验的,全国性法规
1328,记3分,罚款200元,####,驾驶机动车下陡坡时熄火、空档滑行的,全国性法规
13448,记3分,罚款200元,####,违反禁令标志指示,全国性法规
1344,记3分,罚款200元,####,机动车违反禁令标志指示的,全国性法规
1329,记3分,罚款200元,####,故意遮挡机动车号牌的,全国性法规
13449,记3分,罚款100元,####,"外地机动车不熟悉路况,驶入禁行区域,经指出后及时改进的违法行为",全国性法规
13440,记3分,罚款100元,####,机动车违反禁令标志指示的,全国性法规
1344A,记3分,罚款200元,####,机动车违反禁令标志指示的,全国性法规
1345B,记3分,罚款20元,####,机动车在高速公路、城市快速路或者其他封闭的机动车专用道上违反禁止标线指示的,全国性法规
1345,记3分,罚款200元,####,机动车违反禁止标线指示的,全国性法规
13522,记3分,罚款150元,####,驾驶中型以上载客汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1348,记3分,罚款200元,警告,驾驶营运客车（不包括公共汽车）、校车以外的载客汽车载人超过核定人数未达20%的,全国性法规
13450,记3分,罚款100元,####,机动车违反禁止标线指示的,全国性法规
13523,记3分,罚款100元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1349,记3分,罚款20元,警告,驾驶中型以上载客汽车在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的,全国性法规
13451,记3分,罚款100元,####,机动车违反禁止标线指示的,全国性法规
13527,记3分,罚款200元,####,"驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车,超过规定时速10%以上未达20%的",全国性法规
1350,记3分,罚款20元,警告,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的,全国性法规
13452,记3分,罚款150元,####,机动车驾驶人违反禁止标线指示,全国性法规
1352A,记3分,罚款50元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速10%以上不到20%的违法行为,全国性法规
13500,记3分,罚款50元,####,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的,全国性法规
1345A,记3分,罚款20元,####,机动车违反禁止标线指示的,全国性法规
1352B,记3分,罚款100元,####,在高速公路上驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
13501,记3分,####,####,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速10%未达20%的,全国性法规
1352C,记3分,罚款200元,####,驾驶中型以上载客汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
1356,记3分,罚款20元,警告,行经人行横道，未减速行驶的,全国性法规
1351,记3分,罚款20元,警告,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的,全国性法规
1352D,记3分,罚款50元,####,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的,全国性法规
