CODE,ACT,LAW,PUNISH_BASIS,SCORE,PUNISH,OTHER_PENALTIES,ENFORCEMENT,ENFORCEMENT_BASIS,OTHER_MEASURES,OTHER_MEASURES_BASIS,BELONG
10110,非法安装警报器的,《中华人民共和国道路交通安全法》第十五条,《中华人民共和国道路交通安全法》第九十七条、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第四项,####,罚款2000元,####,收缴非法装置,《中华人民共和国道路交通安全法》第九十七条,强制拆除,《中华人民共和国道路交通安全法》第九十七条,武汉市地方法规
10120,非法安装标志灯具的,《中华人民共和国道路交通安全法》第十五条,《中华人民共和国道路交通安全法》第九十七条、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第四项,####,罚款2000元,####,收缴非法装置,《中华人民共和国道路交通安全法》第九十七条,强制拆除,《中华人民共和国道路交通安全法》第九十七条,武汉市地方法规
10130,驾驶证丢失期间仍驾驶机动车的,《中华人民共和国道路交通安全法》第十九条第四款、《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十五条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第二项,####,罚款####元,警告,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
10140,驾驶证损毁期间仍驾驶机动车的,《中华人民共和国道路交通安全法》第十九条第四款、《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十五条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第二项,####,罚款####元,警告,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
10150,驾驶证被依法扣留期间仍驾驶机动车的,《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十条、第九十五条第一款,####,罚款200元,####,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第一项,####,####,武汉市地方法规
10160,违法记分达到12分仍驾驶机动车的,《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,扣留驾驶证,《中华人民共和国道路交通安全法》第二十四条第一款、《中华人民共和国道路交通安全法实施条例》第二十三条第一款,####,####,武汉市地方法规
10181,机动车不在机动车道内行驶的,《中华人民共和国道路交通安全法》第三十六条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第十项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10191,机动车违反规定使用公交专用车道的,《中华人民共和国道路交通安全法》第三十七条、《湖北省实施<中华人民共和国道路交通安全法>办法》第三十条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第十项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10192,城市公共汽车进出站点时未在站点一侧顺次单排靠边停车的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（一）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10193,设有港湾式车站的，城市公共汽车未顺次排队进入隔离带内靠站的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（一）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10194,设有港湾式车站的，城市公共汽车在乘客上下完毕后未立即驶离的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（一）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10195,其他营运客车挤占城市公共汽车站点的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（一）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10200,机动车驾驶人不服从交警指挥的,《中华人民共和国道路交通安全法》第三十八条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10230,遇前方机动车停车排队等候或者缓慢行驶时，未依次交替驶入车道减少后的路口、路段的,《中华人民共和国道路交通安全法》第四十五条第二款、《中华人民共和国道路交通安全法实施条例》第五十三条第三款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第三项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10240,在没有交通信号灯、交通标志、交通标线或者交警指挥的交叉路口遇到停车排队等候或者缓慢行驶时，机动车未依次交替通行的,《中华人民共和国道路交通安全法》第四十五条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第三项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10250,遇前方机动车停车排队等候或者缓慢行驶时，在人行横道、网状线区域停车等候的,《中华人民共和国道路交通安全法实施条例》第五十三条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第十二项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10260,行经铁道路口，不按规定通行的,《中华人民共和国道路交通安全法》第四十六条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十一项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10310,运载危险物品未经批准的,《中华人民共和国道路交通安全法》第四十八条第三款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十条第十项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10350,客运机动车违反规定载货的,《中华人民共和国道路交通安全法》第四十九条、《中华人民共和国道路交通安全法实施条例》第五十四条第二款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10360,货运机动车违反规定附载临时作业人员的,《中华人民共和国道路交通安全法》第五十条第二款、《中华人民共和国道路交通安全法实施条例》第五十五条第二项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10371,未将故障车辆移到不妨碍交通的地方停放的,《中华人民共和国道路交通安全法》第五十二条,《中华人民共和国道路交通安全法》第九十条,####,罚款100元,####,####,####,####,####,武汉市地方法规
10380,不避让正在作业的道路养护车、工程作业车的,《中华人民共和国道路交通安全法》第五十四条第一款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十六项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10390,机动车违反规定停放、临时停车且驾驶人不在现场或驾驶人虽在现场拒绝立即驶离，妨碍其他车辆、行人通行的,《中华人民共和国道路交通安全法》第五十六条第一款、《中华人民共和国道路交通安全法实施条例》第六十三条,《中华人民共和国道路交通安全法》第九十三条第二款、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十三项,####,罚款100元,####,可拖移机动车,《中华人民共和国道路交通安全法》第九十三条第二款,####,####,武汉市地方法规
10392,机动车违反禁止停车标志、禁止停车标线指示的,《中华人民共和国道路交通安全法》第三十八条、《中华人民共和国道路交通安全法实施条例》第六十三条,《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第一项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10393,机动车违反禁止停车标志、禁止停车标线指示的,《中华人民共和国道路交通安全法》第三十八条、《中华人民共和国道路交通安全法实施条例》第六十三条,《中华人民共和国道路交通安全法》第九十条、《武汉市实施<中华人民共和国道路交通安全法>办法》第五十八条第（三）项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10394,在禁止停车的道路上，城市客运出租汽车在出租汽车临时停靠站点以外的其他地方停车载客的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（二）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10395,在除禁止停车的道路以外的其他道路上，城市客运出租汽车未即停即走的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（二）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10396,城市客运出租汽车以外的其他车辆在出租汽车临时停靠站点停放或者临时停车的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（二）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10400,机动车喷涂、粘贴标识或者车身广告，影响安全驾驶的,《中华人民共和国道路交通安全法实施条例》第一十三条第三款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第六项、《机动车登记规定》第五十六条第二项,####,罚款20元,####,####,####,####,####,武汉市地方法规
10410,道路养护施工作业车辆，机械作业时未开启示警灯和危险报警闪光灯的,《中华人民共和国道路交通安全法实施条例》第三十五条第一款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10430,变更车道影响正常行驶的机动车的,《中华人民共和国道路交通安全法实施条例》第四十四条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第十一项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10440,在禁止掉头或者禁止左转弯标志、标线的地点掉头的,《中华人民共和国道路交通安全法实施条例》第四十九条第一款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10450,在容易发生危险的路段掉头的,《中华人民共和国道路交通安全法实施条例》第四十九条第一款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10460,掉头时妨碍正常行驶的车辆和行人通行的,《中华人民共和国道路交通安全法实施条例》第四十九条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10470,机动车未按规定鸣喇叭示意的,《中华人民共和国道路交通安全法实施条例》第五十九条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第七项,####,罚款####元,警告,####,####,####,####,武汉市地方法规
10480,在禁止鸣喇叭的区域或者路段鸣喇叭的,《中华人民共和国道路交通安全法实施条例》第六十二条第八项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第七项,####,罚款20元,####,####,####,####,####,武汉市地方法规
10490,在机动车驾驶室前后窗范围内悬挂、放置妨碍驾驶人视线的物品的,《中华人民共和国道路交通安全法实施条例》第六十二条第二项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第四项,####,罚款20元,####,####,####,####,####,武汉市地方法规
10500,机动车行经漫水路或漫水桥时未低速通过的,《中华人民共和国道路交通安全法实施条例》第六十四条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10510,机动车载运超限物品行经铁路道口时不按指定的道口通过的,《中华人民共和国道路交通安全法实施条例》第六十五条第一款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10520,机动车载运超限物品行经铁路道口时不按指定的时间通过的,《中华人民共和国道路交通安全法实施条例》第六十五条第一款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10530,机动车行经渡口，不服从渡口管理人员指挥，不依次待渡的,《中华人民共和国道路交通安全法实施条例》第六十五条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10540,上下渡船时，不低速慢行的,《中华人民共和国道路交通安全法实施条例》第六十五条第二款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10550,特种车辆违反规定使用警报器的,《中华人民共和国道路交通安全法》第五十三条第二款、《中华人民共和国道路交通安全法实施条例》第六十六条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十四项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10560,特种车辆违反规定使用标志灯具的,《中华人民共和国道路交通安全法》第五十三条第二款、《中华人民共和国道路交通安全法实施条例》第六十六条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十四项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10570,机动车在单位院内、居民居住区内不低速行驶的,《中华人民共和国道路交通安全法实施条例》第六十七条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10580,机动车在单位院内、居民居住区内不避让行人的,《中华人民共和国道路交通安全法实施条例》第六十七条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10590,驾驶摩托车手离车把的,《中华人民共和国道路交通安全法实施条例》第六十二条第六项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第二项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10600,驾驶摩托车在车把上悬挂物品的,《中华人民共和国道路交通安全法实施条例》第六十二条第六项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第二项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10610,拖拉机驶入大中城市中心城区内道路的,《中华人民共和国道路交通安全法》第五十五条第一款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10620,拖拉机驶入其它禁止通行道路的,《中华人民共和国道路交通安全法》第五十五条第一款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10630,拖拉机载人的,《中华人民共和国道路交通安全法》第五十五条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10640,拖拉机牵引多辆挂车的,《中华人民共和国道路交通安全法实施条例》第五十六条第一项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第十五项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10651,申请人不按指定路线上道路学习驾驶的,《中华人民共和国道路交通安全法实施条例》第二十条第二款、《机动车驾驶证申领和使用规定》第三十九条第一款,《机动车驾驶证申领和使用规定》第九十一条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十七项,####,罚款100（对教练员或随车指导人员）元,####,####,####,####,####,武汉市地方法规
10661,申请人不按指定时间上道路学习驾驶的,《中华人民共和国道路交通安全法实施条例》第二十条第二款、《机动车驾驶证申领和使用规定》第三十九条第一款,《机动车驾驶证申领和使用规定》第九十一条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第十七项,####,罚款100（对教练员或随车指导人员）元,####,####,####,####,####,武汉市地方法规
10671,申请人在道路上学习驾驶时，未使用符合规定的机动车的,《中华人民共和国道路交通安全法实施条例》第二十条第二款、《机动车驾驶证申领和使用规定》第三十九条第一款,《机动车驾驶证申领和使用规定》第九十二条第一项,####,罚款500（对教练员或随车指导人员）元,####,####,####,####,####,武汉市地方法规
10681,申请人在道路上学习驾驶时，没有教练员或者随车指导人员的,《中华人民共和国道路交通安全法实施条例》第二十条第二款、《机动车驾驶证申领和使用规定》第三十九条第一款,《中华人民共和国道路交通安全法》第九十九条第一款第一项、第二款、《机动车驾驶证申领和使用规定》第九十三条,####,罚款1000元,可以并处十五日以下拘留,可拖移机动车,《中华人民共和国道路交通安全法实施条例》第一百零四条第四项,####,####,武汉市地方法规
10690,使用教练车教学时有与教学无关的人员乘坐的,《中华人民共和国道路交通安全法实施条例》第二十条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第八项,####,罚款20元,####,####,####,####,####,武汉市地方法规
10700,实习期内未粘贴或悬挂实习标志的,《中华人民共和国道路交通安全法实施条例》第二十二条第二款,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第五项,####,罚款####元,警告,####,####,####,####,武汉市地方法规
10720,驾驶安全设施不全的机动车的,《中华人民共和国道路交通安全法》第二十一条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十条第六项,####,罚款####元,警告,####,####,####,####,武汉市地方法规
10731,驾驶机件不符合技术标准的机动车的,《中华人民共和国道路交通安全法》第二十一条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第七十条第六项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10740,不按规定倒车的,《中华人民共和国道路交通安全法实施条例》第五十条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第九项,####,罚款100元,####,####,####,####,####,武汉市地方法规
10750,在车门、车厢没有关好时行车的,《中华人民共和国道路交通安全法实施条例》第六十二条第一项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第五项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10760,机动车在没有划分机动车道、非机动车道和人行道的道路上，不在道路中间通行的,《中华人民共和国道路交通安全法》第三十六条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10770,驾驶机动车下陡坡时熄火、空档滑行的,《中华人民共和国道路交通安全法实施条例》第六十二条第四项,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10780,机动车违反交通管制规定强行通行，不听劝阻的,《中华人民共和国道路交通安全法》第三十九条、第四十条,《中华人民共和国道路交通安全法》第九十九条第一款第六项、第二款，《湖北省实施<中华人民共和国道路交通安全法>办法》第七十五条第五项,####,罚款1000元,可并处拘留15日以下,####,####,####,####,武汉市地方法规
10820,使用他人机动车驾驶证驾驶机动车的,《中华人民共和国道路交通安全法》第十九条第一款、《中华人民共和国道路交通安全法实施条例》第二十八条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10830,载货汽车、挂车未按照规定安装侧面及后下部防护装置、粘贴车身反光标识的,《中华人民共和国道路交通安全法》第二十一条,《机动车登记规定》第五十六条第三项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10840,改变车身颜色、更换发动机、车身或者车架，未按规定时限办理变更登记的,《机动车登记规定》第十条第一款、第三款,《机动车登记规定》第五十六条第五项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10850,机动车所有权转移后，现机动车所有人未按规定时限办理转移登记的,《机动车登记规定》第十八条,《机动车登记规定》第五十六条第六项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10860,机动车所有人办理变更登记、转移登记，机动车档案转出登记地车辆管理所后，未按照规定时限到住所地车辆管理所申请机动车转入的,《机动车登记规定》第一十三条,《机动车登记规定》第五十六条第七项,####,罚款200元,####,####,####,####,####,武汉市地方法规
10870,擅自改变机动车外形和已登记的有关技术数据的,《中华人民共和国道路交通安全法》第十六条第一项,《机动车登记规定》第五十七条,####,罚款500元,####,####,####,责令恢复,《机动车登记规定》第五十七条,武汉市地方法规
10880,以欺骗、贿赂等不正当手段办理补、换领机动车登记证书、号牌、行驶证和检验合格标志等业务的,《机动车登记规定》第五十一条,《机动车登记规定》第五十八条第二款,####,罚款200元,####,收缴非法牌证,《中华人民共和国道路交通安全法实施条例》第一百零三条、《机动车登记规定》第五十八条第一款,撤销登记，3年内不得申请机动车登记,《机动车登记规定》第五十八条第一款,武汉市地方法规
10890,公路客运车辆违反规定载货的,《中华人民共和国道路交通安全法》第四十九条、《中华人民共和国道路交通安全法实施条例》第五十四条第二款,《中华人民共和国道路交通安全法》第九十二条第一款，《湖北省实施<中华人民共和国道路交通安全法>办法》第七十四条第一款第一项,####,罚款500元,####,扣留机动车,《中华人民共和国道路交通安全法》第九十二条第三款、湖北省实施<中华人民共和国道路交通安全法>办法》第七十四条第二款,卸载,湖北省实施<中华人民共和国道路交通安全法>办法》第七十四条第二款，《违法处理程序规定》第二十九条第一款,武汉市地方法规
10900,机动车违反警告标志指示的,《中华人民共和国道路交通安全法》第三十八条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第八项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10910,机动车违反警告标线指示的,《中华人民共和国道路交通安全法》第三十八条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第八项,####,罚款####元,警告,####,####,####,####,武汉市地方法规
10920,公路客运车辆以外的载客汽车违反规定载货的,《中华人民共和国道路交通安全法》第四十九条、《中华人民共和国道路交通安全法实施条例》第五十四条第二款,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10930,驾驶时观看电视的,《中华人民共和国道路交通安全法实施条例》第六十二条第三项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第七项,####,罚款50元,####,####,####,####,####,武汉市地方法规
10940,在同车道行驶中，不按规定与前车保持必要的安全距离的,《中华人民共和国道路交通安全法》第四十三条,《中华人民共和国道路交通安全法》第九十条,####,罚款200元,####,####,####,####,####,武汉市地方法规
10941,城市公共汽车进出站点时未保持必要的安全距离的,《武汉市实施<中华人民共和国道路交通安全法>办法》第三十九条第（一）项,《中华人民共和国道路交通安全法》第九十条，《武汉市实施<中华人民共和国道路交通安全法>办法》第五十六条,####,罚款200元,####,####,####,####,####,武汉市地方法规
11020,不按规定使用灯光的,《中华人民共和国道路交通安全法实施条例》第四十七条、第四十八条第五项、第五十一条第三项、第五十七条、第五十八条、第五十九条第一款、第六十一条第五项,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十八条第九项,记1分,罚款50元,####,####,####,####,####,武汉市地方法规
11030,不按规定会车的,《中华人民共和国道路交通安全法实施条例》第四十八条,《中华人民共和国道路交通安全法》第九十条、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十九条第九项,记1分,罚款100元,####,####,####,####,####,武汉市地方法规
11090,未随车携带行驶证的,《中华人民共和国道路交通安全法》第十一条第一款,《中华人民共和国道路交通安全法》第九十五条第一款、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第一项,记1分,罚款####元,警告,扣留机动车,《中华人民共和国道路交通安全法》第九十五条第一款,####,####,武汉市地方法规
11100,未随车携带驾驶证的,《中华人民共和国道路交通安全法》第十九条第四款,《中华人民共和国道路交通安全法》第九十五条第一款、《湖北省实施<中华人民共和国道路交通安全法>办法》第六十七条第一项,记1分,罚款####元,警告,扣留机动车,《中华人民共和国道路交通安全法》第九十五条第一款,####,####,武汉市地方法规
